Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
Jimmy Butler,SO,G,35,0,687,,,.514,,,.000,,,.534,.514,,,.768,,,,,,,,,,,,
Jimmy Butler,JR,G,34,34,1165,7.9,14.9,.530,0.9,1.7,.500,7.0,13.2,.534,.559,10.0,13.0,.766,4.4,7.1,11.5,3.6,2.4,1.1,2.1,3.6,26.6,135.4,99.6,
Jimmy Butler,SR,G,37,35,1282,8.6,17.5,.490,0.9,2.7,.345,7.7,14.9,.515,.516,8.6,11.0,.783,4.1,6.2,10.3,3.9,2.4,0.6,2.5,2.2,26.7,126.8,102.5,
Damian Lillard,FR,G,31,26,911,,,.434,,,.374,,,.490,.524,,,.841,,,,,,,,,,,,
Damian Lillard,SO,G,31,31,1062,10.2,23.6,.431,4.6,11.8,.393,5.6,11.8,.470,.529,9.0,10.5,.853,0.6,6.3,6.9,6.2,1.9,0.2,4.1,3.2,33.9,121.2,105.1,
Damian Lillard,JR,G,10,9,285,10.4,23.9,.438,4.0,11.7,.345,6.4,12.1,.526,.522,12.8,14.9,.857,1.3,6.8,8.1,7.0,3.0,0.4,6.0,4.9,37.7,116.6,100.8,
Damian Lillard,SR,G,32,32,1105,12.4,26.6,.467,5.1,12.4,.409,7.4,14.3,.517,.562,12.3,13.8,.887,0.9,7.8,8.7,6.9,2.5,0.4,4.0,3.3,42.2,128.4,101.6,
Dalton Knecht,JR,G,35,11,844,7.0,16.2,.436,3.2,8.9,.361,3.8,7.2,.528,.535,3.7,4.9,.753,1.3,7.2,8.5,2.1,1.1,1.1,3.4,3.6,21.0,104.8,109.3,
Dalton Knecht,SR,G,32,32,1129,12.0,25.0,.479,3.9,10.3,.381,8.0,14.7,.547,.557,5.2,6.7,.771,1.2,10.6,11.8,2.9,1.3,0.9,3.4,2.5,33.0,113.3,110.2,
Dalton Knecht,SR2,G,36,36,1100,13.7,29.9,.458,4.8,12.1,.397,8.8,17.7,.499,.538,8.2,10.7,.772,1.4,7.7,9.1,3.4,1.3,1.2,3.2,3.3,40.4,117.6,100.1,AA-1AP-AA-1NA
