Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
Precious Achiuwa,FR,F,31,31,943,10.6,21.4,.493,0.8,2.3,,9.8,19.1,.514,.511,6.5,10.9,.599,5.4,14.0,19.4,1.7,2.0,3.4,5.0,4.2,28.4,101.3,82.5,
Steven Adams,FR,C,32,32,749,8.8,15.5,.571,0.0,0.0,,8.8,15.5,.571,.571,2.7,6.2,.443,8.0,10.0,17.9,1.8,1.9,5.7,3.1,4.6,20.4,112.9,87.6,
Ochai Agbaji,FR,G,22,16,569,7.0,15.6,.449,2.3,7.5,,4.7,8.1,.580,.522,2.5,3.6,.694,2.1,8.0,10.1,2.0,1.0,1.2,3.0,4.3,18.8,104.5,101.8,
Ochai Agbaji,SO,G,31,31,1032,6.6,15.3,.428,2.6,7.8,,3.9,7.6,.519,.513,1.9,2.8,.673,2.1,5.3,7.4,3.5,2.2,0.5,3.3,3.4,17.6,104.3,93.9,
Ochai Agbaji,JR,G,30,30,1010,8.4,19.9,.420,4.4,11.8,,3.9,8.1,.483,.531,2.9,4.2,.689,1.6,4.6,6.3,3.2,1.9,0.8,2.3,3.1,24.0,112.6,100.1,
Ochai Agbaji,SR,G,39,39,1367,10.9,22.9,.475,4.3,10.7,,6.5,12.2,.534,.570,4.8,6.4,.743,1.3,6.9,8.3,2.6,1.5,0.9,3.4,2.7,30.8,116.3,99.0,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
Santi Aldama,FR,F,10,9,304,11.3,24.6,.459,2.4,11.1,,8.9,13.5,.658,.508,3.1,6.1,.515,2.8,11.3,14.0,3.9,1.7,3.1,4.2,4.2,28.1,97.2,100.6,
Santi Aldama,SO,F,17,17,595,13.3,25.8,.513,3.1,8.5,,10.1,17.3,.585,.574,5.8,8.4,.686,3.0,13.9,16.9,3.8,1.7,2.8,5.4,3.1,35.5,111.3,94.3,
Trey Alexander,FR,G,35,13,930,5.6,13.3,.422,1.1,4.0,,4.5,9.3,.483,.464,4.0,4.9,.818,0.6,7.6,8.3,5.4,1.6,0.6,4.0,4.3,16.4,99.0,98.8,
Trey Alexander,SO,G,37,37,1189,8.2,18.4,.447,3.2,7.8,,5.0,10.5,.475,.534,4.8,5.8,.824,0.6,7.0,7.6,4.7,1.9,0.8,2.7,3.1,24.4,114.6,99.8,
Trey Alexander,JR,G,35,35,1304,10.5,23.6,.446,2.8,8.3,,7.7,15.3,.504,.506,4.0,4.9,.824,0.8,8.3,9.1,7.5,1.7,0.7,3.9,2.8,27.9,110.1,102.0,
Grayson Allen,FR,G,35,0,322,8.5,20.0,.425,3.4,9.8,,5.1,10.2,.500,.509,8.5,10.0,.849,1.7,4.9,6.6,2.6,1.9,0.9,2.8,7.9,28.8,122.2,100.3,
Grayson Allen,SO,G,36,35,1317,10.6,22.8,.466,4.0,9.6,,6.6,13.2,.502,.554,9.4,11.2,.837,1.1,6.3,7.3,5.6,2.1,0.2,3.2,4.4,34.6,128.6,107.5,"AP-AA-3,NABC-AA-3,SN-AA-2,W-AA-1"
Grayson Allen,JR,G,34,25,1007,8.0,20.3,.395,4.6,12.6,,3.4,7.7,.444,.508,7.3,9.0,.811,1.3,5.9,7.2,6.8,1.5,0.1,4.2,4.4,28.0,116.6,104.8,
Grayson Allen,SR,G,37,37,1319,7.8,18.6,.418,4.4,11.9,,3.4,6.8,.503,.536,4.6,5.5,.850,0.9,4.4,5.3,7.4,2.8,0.1,3.4,3.4,24.6,123.3,102.1,
Jarrett Allen,FR,F,33,33,1061,9.8,17.4,.566,0.0,0.4,,9.8,17.0,.579,.566,4.6,8.2,.564,5.5,9.8,15.3,1.5,1.0,2.8,4.6,3.7,24.3,104.9,99.9,
Jose Alvarado,FR,G,25,25,874,6.8,15.2,.448,2.8,7.4,,4.1,7.8,.522,.538,4.5,5.6,.802,1.0,5.4,6.4,5.3,3.0,0.1,4.1,4.1,20.9,108.4,104.3,
Jose Alvarado,SO,G,31,30,1060,7.3,18.7,.392,2.4,8.5,,4.9,10.1,.481,.457,4.3,5.8,.743,1.2,5.5,6.7,5.8,3.1,0.2,3.5,4.4,21.4,100.0,99.2,
Jose Alvarado,JR,G,24,23,803,8.4,18.9,.444,3.0,8.8,,5.4,10.1,.538,.522,4.6,5.8,.793,0.6,5.1,5.7,6.8,3.7,0.1,4.5,4.9,24.3,107.1,94.0,
Jose Alvarado,SR,G,26,26,965,8.6,17.1,.504,2.8,7.2,,5.8,9.9,.586,.586,4.1,4.9,.838,1.2,4.3,5.5,6.5,4.5,0.1,3.2,3.6,24.1,119.7,100.5,
Cole Anthony,FR,G,22,20,768,9.7,25.5,.380,3.6,10.4,,6.1,15.1,.402,.451,7.1,9.5,.750,0.7,8.5,9.3,6.5,2.1,0.4,5.7,4.7,30.1,99.9,102.4,
OG Anunoby,FR,F,34,0,466,8.2,14.4,.569,1.6,3.6,,6.6,10.8,.609,.625,2.5,5.2,.476,5.2,6.0,11.2,2.2,3.4,3.2,3.5,6.5,20.5,116.9,97.6,
OG Anunoby,SO,F,16,10,402,9.7,17.5,.557,2.0,6.4,,7.7,11.0,.701,.615,3.9,6.9,.563,4.0,8.4,12.5,3.3,3.0,3.0,3.7,4.7,25.3,118.5,99.4,
Deandre Ayton,FR,F,35,35,1172,13.7,22.4,.612,0.6,1.7,,13.1,20.7,.635,.625,7.0,9.5,.733,5.9,14.3,20.1,2.8,1.0,3.3,3.4,4.0,35.0,130.3,98.8,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
Lonzo Ball,FR,G,36,36,1263,8.1,14.6,.551,3.4,8.3,,4.7,6.4,.732,.668,2.8,4.2,.673,1.4,7.8,9.2,11.7,2.8,1.2,3.8,2.8,22.4,131.3,100.7,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
Paolo Banchero,FR,F,39,39,1286,11.2,23.4,.478,2.0,5.9,,9.2,17.5,.525,.520,6.2,8.6,.729,3.1,10.8,13.9,5.7,1.9,1.6,4.2,3.4,30.6,113.8,98.1,"AA-2,AP-AA-3,NABC-AA-2,SN-AA-3,USBWA-AA-2"
Desmond Bane,FR,G,39,13,807,7.4,14.4,.515,2.2,5.7,,5.2,8.6,.605,.591,3.1,4.1,.768,2.0,6.2,8.2,2.8,0.9,0.7,2.8,5.4,20.1,116.6,106.4,
Desmond Bane,SO,G,33,32,1005,8.2,15.3,.539,3.4,7.3,,4.9,8.0,.610,.649,3.6,4.7,.780,0.9,6.8,7.6,4.7,1.8,0.5,3.3,4.3,23.5,124.0,108.4,
Desmond Bane,JR,G,37,37,1315,9.4,18.8,.502,3.0,7.0,,6.4,11.7,.549,.582,2.8,3.3,.867,2.1,7.1,9.2,3.9,1.8,0.9,2.1,3.8,24.7,123.3,101.2,
Desmond Bane,SR,G,32,32,1152,10.4,23.1,.452,4.9,11.0,,5.6,12.1,.461,.557,2.4,3.0,.789,2.4,8.3,10.7,6.6,2.5,0.9,3.9,3.7,28.1,114.5,97.6,
Harrison Barnes,FR,F,37,36,1087,10.6,25.2,.421,3.4,9.9,,7.2,15.3,.470,.488,4.7,6.3,.750,3.8,7.1,11.0,2.7,1.4,0.8,3.7,3.7,29.3,108.5,97.4,
Harrison Barnes,SO,F,38,37,1111,11.3,25.8,.440,2.4,6.8,,8.9,19.0,.469,.487,7.0,9.7,.723,3.7,6.1,9.8,2.1,2.0,0.6,3.7,3.4,32.1,111.1,96.1,
Scottie Barnes,FR,G,24,7,595,9.4,18.7,.503,1.1,3.8,,8.4,14.9,.561,.531,3.9,6.3,.621,3.4,5.9,9.2,9.4,3.4,1.1,5.7,5.0,23.8,109.3,98.3,
Brooks Barnhizer,FR,G,11,0,82,4.3,18.4,.231,1.4,7.8,,2.8,10.6,.267,.269,3.5,4.3,.833,1.4,4.3,5.7,7.8,4.3,2.1,2.1,3.5,13.5,84.7,97.0,
Brooks Barnhizer,SO,G,34,0,825,6.6,16.2,.410,1.9,6.3,,4.7,9.9,.474,.470,4.2,5.0,.836,3.4,9.2,12.5,2.7,2.0,0.9,2.1,4.0,19.4,110.9,97.1,
Brooks Barnhizer,JR,G,34,34,1249,8.6,19.9,.429,2.0,5.7,,6.6,14.2,.462,.479,5.5,7.2,.766,2.1,10.5,12.6,4.4,3.0,1.4,2.6,3.3,24.6,110.1,101.5,
Brooks Barnhizer,SR,G,17,17,628,9.9,24.0,.414,1.6,6.2,,8.3,17.8,.465,.448,6.6,8.6,.764,2.5,11.9,14.5,6.9,3.8,1.8,4.5,2.8,28.0,103.8,96.2,
RJ Barrett,FR,F,38,38,1341,13.0,28.6,.454,3.0,9.7,,10.0,18.9,.529,.506,6.1,9.1,.665,2.4,9.3,11.7,6.7,1.4,0.7,5.0,2.9,35.0,110.1,95.9,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
Charles Bassey,FR,C,34,34,1067,10.2,16.3,.627,0.5,1.1,,9.7,15.2,.639,.642,6.0,7.8,.769,5.4,13.1,18.5,1.3,1.5,4.4,5.3,4.8,26.9,115.2,93.9,
Charles Bassey,SO,C,10,10,281,11.6,21.8,.533,0.4,2.4,,11.2,19.4,.579,.542,7.5,9.6,.787,5.7,13.0,18.8,2.6,1.6,3.3,4.7,5.5,31.2,114.1,96.2,
Charles Bassey,JR,C,28,28,851,13.2,22.4,.590,1.2,4.0,,12.0,18.4,.652,.617,6.0,7.9,.759,6.3,15.9,22.1,1.3,0.7,5.9,4.2,4.6,33.6,121.1,90.5,USBWA-AA-3
Tamar Bates,FR,G,32,0,465,5.6,16.5,.338,2.2,7.2,,3.4,9.3,.370,.404,2.5,3.0,.833,0.9,4.2,5.1,2.5,1.0,0.5,2.8,3.9,15.8,88.0,103.6,
Tamar Bates,SO,G,35,2,713,6.2,15.9,.392,3.0,8.1,,3.2,7.8,.411,.487,2.1,2.2,.926,0.8,3.8,4.6,3.2,1.3,0.2,2.1,4.9,17.6,105.4,107.1,
Tamar Bates,JR,G,32,25,874,10.3,20.8,.495,2.3,6.1,,8.0,14.7,.541,.551,5.9,6.4,.926,1.6,4.7,6.4,2.9,1.6,0.4,3.5,4.3,28.8,115.2,116.7,
Tamar Bates,SR,G,34,34,883,10.1,19.9,.508,3.4,8.5,,6.8,11.4,.591,.593,5.6,6.0,.946,1.5,4.3,5.8,2.2,2.9,0.3,2.9,3.9,29.3,126.9,109.0,
Jamison Battle,FR,F,32,30,1130,6.5,16.3,.399,4.7,12.9,,1.8,3.3,.524,.544,2.3,2.8,.846,0.6,8.2,8.9,1.0,0.7,0.7,1.9,3.7,20.0,107.5,107.1,
Jamison Battle,SO,F,15,15,548,10.0,21.0,.475,3.6,10.2,,6.4,10.8,.588,.561,3.9,5.0,.787,0.6,7.6,8.3,1.1,1.4,0.4,3.5,2.6,27.4,106.2,106.8,
