Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
American,Matt Rogers,,F,35,35,26.6,6.4,11.5,0.558,1.7,4.3,0.403,4.7,7.3,0.65,0.633,2.2,2.9,0.745,1.1,4.4,5.5,1.3,0.7,0.4,2.0,2.7,16.7
American,Elijah Stephens,,G,31,28,30.4,3.7,8.7,0.428,0.9,2.7,0.345,2.8,6.0,0.465,0.482,2.2,2.6,0.841,0.5,2.2,2.7,3.8,1.6,0.1,2.3,2.1,10.6
American,Greg Jones,,F,33,33,26.9,3.2,6.3,0.502,1.3,2.9,0.438,1.9,3.4,0.558,0.603,2.7,3.1,0.854,1.0,3.0,3.9,1.0,0.8,0.1,1.4,2.7,10.3
American,Colin Smalls,,G,33,32,26.5,3.1,7.6,0.408,1.3,4.0,0.326,1.8,3.6,0.5,0.494,2.3,2.8,0.815,0.4,1.3,1.7,1.2,0.8,0.0,0.6,1.9,9.8
American,Matt Mayock,,F,35,18,24.4,2.4,5.8,0.411,1.2,3.5,0.347,1.2,2.3,0.506,0.515,1.3,1.5,0.852,0.3,1.9,2.3,1.3,0.4,0.4,0.9,1.0,7.3
American,Geoff Sprouse,,G,20,8,23.0,2.4,6.7,0.351,2.1,5.8,0.365,0.3,1.0,0.263,0.507,0.1,0.2,0.5,0.2,1.9,2.1,1.7,0.7,0.0,1.1,1.7,6.9
American,Lincoln Ball,,G,35,20,25.8,1.5,3.7,0.405,0.2,0.9,0.182,1.3,2.8,0.48,0.427,0.7,1.4,0.51,1.7,4.1,5.7,2.0,0.8,0.3,0.7,2.4,3.9
American,Eric Michaels,,F,29,0,11.3,1.4,2.8,0.494,0.0,0.0,,1.4,2.8,0.494,0.494,0.5,1.1,0.438,0.8,1.7,2.6,0.3,0.2,0.5,0.7,1.4,3.2
American,Wyatt Nausadis,,G,35,1,12.5,1.1,3.3,0.316,0.5,2.1,0.257,0.5,1.2,0.419,0.397,0.4,0.6,0.667,0.3,0.9,1.1,0.9,0.6,0.0,0.6,1.3,3.1
American,Julen Iturbe,,F,26,0,7.8,1.0,2.3,0.41,0.5,1.6,0.341,0.4,0.8,0.55,0.525,0.2,0.4,0.6,0.5,0.9,1.3,0.3,0.3,0.1,0.6,1.2,2.7
American,Alex Daniels,,G,3,0,7.7,0.3,2.0,0.167,0.3,1.0,0.333,0.0,1.0,0.0,0.25,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.0,0.3,1.3,1.3
American,Adam Holod,,G,3,0,2.3,0.3,1.0,0.333,0.3,0.7,0.5,0.0,0.3,0.0,0.5,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0
American,Adrian Samuels,,G,15,0,7.0,0.1,0.9,0.077,0.0,0.5,0.0,0.1,0.3,0.2,0.077,0.4,0.5,0.75,0.1,0.9,1.0,0.3,0.2,0.0,0.4,0.7,0.5
American,Mason Whittaker,,F,24,0,5.4,0.1,0.4,0.333,0.0,0.0,0.0,0.1,0.3,0.375,0.333,0.2,0.3,0.714,0.6,0.7,1.3,0.2,0.3,0.1,0.3,1.2,0.5
American,Noah Jones,,F,7,0,2.3,0.1,0.4,0.333,0.0,0.0,,0.1,0.4,0.333,0.333,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.3,0.3
Army West Point,Jalen Rucker,,G,32,31,33.6,6.7,15.9,0.42,2.2,6.6,0.325,4.5,9.3,0.487,0.487,2.8,3.5,0.811,0.3,3.8,4.2,3.2,1.6,0.1,2.2,1.8,18.3
Army West Point,Josh Scovens,,F,29,28,31.7,5.4,12.0,0.453,0.9,3.1,0.278,4.6,8.9,0.514,0.489,3.4,5.1,0.664,1.4,2.7,4.2,1.8,1.0,1.3,1.2,2.1,15.2
Army West Point,Ryan Curry,,G,33,32,33.7,4.5,10.7,0.423,2.6,7.0,0.372,1.9,3.7,0.521,0.545,0.8,1.1,0.75,0.8,3.5,4.4,3.6,1.0,0.1,1.6,1.6,12.5
Army West Point,AJ Allenspach,,F,33,32,25.8,4.2,6.2,0.68,0.0,0.0,1.0,4.2,6.2,0.678,0.682,2.2,3.2,0.664,2.8,4.3,7.0,1.3,0.6,0.3,1.5,2.9,10.7
Army West Point,Jorn Everson,,F,32,0,9.3,1.9,4.0,0.469,0.6,2.1,0.303,1.3,1.9,0.645,0.547,0.3,0.5,0.5,0.5,0.6,1.1,0.6,0.2,0.0,0.6,1.0,4.6
Army West Point,Blake Barker,,G,33,23,20.8,1.2,3.8,0.317,0.7,2.5,0.272,0.5,1.4,0.4,0.405,0.6,0.8,0.714,0.7,2.2,2.9,1.1,0.6,0.1,0.4,1.3,3.7
Army West Point,Jacen Holloway,,F,33,3,9.5,1.0,2.3,0.434,0.2,0.7,0.208,0.8,1.6,0.538,0.467,0.5,0.8,0.577,0.4,0.9,1.2,0.5,0.3,0.0,0.4,1.0,2.6
Army West Point,Isaiah Caldwell,,G,30,10,19.9,1.0,3.2,0.323,0.2,1.2,0.189,0.8,2.0,0.407,0.359,0.3,0.6,0.526,0.3,2.3,2.6,0.8,0.8,0.1,0.6,1.0,2.6
Army West Point,Tate Laczkowski,,F,23,0,8.8,1.0,2.4,0.393,0.3,1.0,0.348,0.6,1.4,0.424,0.464,0.2,0.4,0.444,0.9,1.7,2.6,0.6,0.4,0.2,0.5,1.4,2.4
Army West Point,Kevin McCarthy,,G,29,2,8.0,0.8,2.1,0.393,0.7,1.9,0.37,0.1,0.2,0.571,0.557,0.0,0.0,,0.3,0.8,1.2,0.4,0.2,0.0,0.2,0.8,2.3
